Date,return,turnover,holdings
2010-01-31,0.0,0.0,0
2010-02-28,0.0,0.0,0
2010-03-31,0.0,0.0,0
2010-04-30,0.0,0.0,0
2010-05-31,0.0,0.0,0
2010-06-30,0.0,0.0,0
2010-07-31,0.0,0.0,0
2010-08-31,0.0,0.0,0
2010-09-30,0.0,0.0,0
2010-10-31,0.0,0.0,0
2010-11-30,0.0,0.0,0
2010-12-31,0.0,0.0,0
2011-01-31,0.007608695231726484,1.0,35
2011-02-28,0.034039200291380876,0.2857142857142857,35
2011-03-31,0.03162339326960432,0.2857142857142857,35
2011-04-30,0.030955413400639245,0.22857142857142856,35
2011-05-31,-0.013168653837091515,0.2571428571428571,35
2011-06-30,-0.006625071101103413,0.2,35
2011-07-31,-0.031045776927453892,0.22857142857142856,35
2011-08-31,-0.06274772693035692,0.22857142857142856,35
2011-09-30,-0.09372659135061506,0.2571428571428571,35
2011-10-31,0.0859921165528806,0.3142857142857143,35
2011-11-30,0.005477618912213089,0.3194444444444444,36
2011-12-31,0.0049971466868866206,0.2777777777777778,36
2012-01-31,0.019594563643782877,0.2777777777777778,36
2012-02-29,0.04744034766683944,0.3333333333333333,36
2012-03-31,0.0478498068382168,0.2222222222222222,36
2012-04-30,0.02231361479527429,0.2222222222222222,36
2012-05-31,-0.049579337398020215,0.19444444444444445,36
2012-06-30,0.019630289887898913,0.2222222222222222,36
2012-07-31,0.013023505000241152,0.3611111111111111,36
2012-08-31,0.024768399924125363,0.3611111111111111,36
2012-09-30,0.029652366455657244,0.3333333333333333,36
2012-10-31,-0.027666607357685617,0.2777777777777778,36
2012-11-30,0.029231486562376927,0.19444444444444445,36
2012-12-31,0.014991506064702826,0.25,36
2013-01-31,0.06225398087225074,0.19444444444444445,36
2013-02-28,0.02177060875417417,0.19444444444444445,36
2013-03-31,0.04564140844316077,0.2777777777777778,36
2013-04-30,0.04137449276554105,0.2777777777777778,36
2013-05-31,0.08645437973655788,0.25,36
2013-06-30,-0.019490032602549077,0.16666666666666666,36
2013-07-31,0.0803510114382112,0.19444444444444445,36
2013-08-31,-0.005807816394162137,0.1388888888888889,36
